Warning this test is running in real-time and may be flaky.
FAIL - "webkitTransform.5" property for "box" element at 0.4s expected: 0 but saw: matrix(1, 0, 0, 1, 400, 100)

Log:
9.783999994397163 - runAnimationTest
11.519999941810966 - First webkitAnimationStart event fired
11.553999967873096 - Finished waiting for animations to start
11.599999968893826 - RAF callback, animation time: 0.024999957531690598
11.70299993827939 - RAF callback, animation time: 0.1319999573752284
12.484999955631793 - RAF callback, animation time: 0.9119999594986439
13.658999931067228 - RAF callback, animation time: 2.0889999577775598
14.867999940179288 - RAF callback, animation time: 3.298999974504113
16.04699995368719 - RAF callback, animation time: 4.477999988012016
17.219999921508133 - RAF callback, animation time: 5.65100007224828
18.349999911151826 - RAF callback, animation time: 6.778000039048493
19.54199990723282 - RAF callback, animation time: 7.9700000351294875
20.711999968625605 - RAF callback, animation time: 9.14300000295043
21.941999904811382 - RAF callback, animation time: 10.371000040322542
23.102999897673726 - RAF callback, animation time: 11.535000056028366
24.276999989524484 - RAF callback, animation time: 12.708000023849308
25.520999915897846 - RAF callback, animation time: 13.9510000590235
26.634999900124967 - RAF callback, animation time: 15.066000050865114
28.032999951392412 - RAF callback, animation time: 16.463999985717237
29.239999945275486 - RAF callback, animation time: 17.668999964371324
30.47499991953373 - RAF callback, animation time: 18.906000070273876
31.705999979749322 - RAF callback, animation time: 20.137000014074147
32.93200000189245 - RAF callback, animation time: 21.363000036217272
34.026999957859516 - RAF callback, animation time: 22.45799999218434
35.20699997898191 - RAF callback, animation time: 23.63900002092123
36.477999994531274 - RAF callback, animation time: 24.9090000288561
37.67999995034188 - RAF callback, animation time: 26.1119999922812
38.85799995623529 - RAF callback, animation time: 27.288999990560114
40.12499994132668 - RAF callback, animation time: 28.550000046379864
41.240999940782785 - RAF callback, animation time: 29.67199997510761
42.48299996834248 - RAF callback, animation time: 30.906000058166683
43.6479999916628 - RAF callback, animation time: 32.079000025987625
44.805999961681664 - RAF callback, animation time: 33.23699999600649
45.98699999041855 - RAF callback, animation time: 34.41900003235787
47.16499999631196 - RAF callback, animation time: 35.59700003825128
48.41399996075779 - RAF callback, animation time: 36.84099996462464
49.57599996123463 - RAF callback, animation time: 38.006999995559454
50.76599994208664 - RAF callback, animation time: 39.19699997641146
51.93999991752207 - RAF callback, animation time: 40.37100006826222
53.111999994143844 - RAF callback, animation time: 41.54300002846867
54.28399995435029 - RAF callback, animation time: 42.71599999628961
55.403999984264374 - RAF callback, animation time: 43.83600002620369
56.57199991401285 - RAF callback, animation time: 45.00400007236749
57.74299998302013 - RAF callback, animation time: 46.175000024959445
58.911999920383096 - RAF callback, animation time: 47.343999962322414
60.08299998939037 - RAF callback, animation time: 48.51500003132969
61.33699999190867 - RAF callback, animation time: 49.76399999577552
62.58699996396899 - RAF callback, animation time: 51.016999990679324
63.80999996326864 - RAF callback, animation time: 52.238999982364476
64.98799996916205 - RAF callback, animation time: 53.41799999587238
66.15099997725338 - RAF callback, animation time: 54.583000019192696
67.3269999679178 - RAF callback, animation time: 55.758000002242625
68.50199995096773 - RAF callback, animation time: 56.93399999290705
69.67399991117418 - RAF callback, animation time: 58.10600006952882
70.8779999986291 - RAF callback, animation time: 59.30900003295392
72.04499992076308 - RAF callback, animation time: 60.47600007150322
73.21299996692687 - RAF callback, animation time: 61.6440000012517
74.38299991190434 - RAF callback, animation time: 62.81400006264448
75.55199996568263 - RAF callback, animation time: 63.984000007621944
76.72499993350357 - RAF callback, animation time: 65.1559999678284
77.89499999489635 - RAF callback, animation time: 66.32700003683567
79.06299992464483 - RAF callback, animation time: 67.49399995896965
80.23199997842312 - RAF callback, animation time: 68.66300001274794
81.40299993101507 - RAF callback, animation time: 69.8339999653399
82.57099997717887 - RAF callback, animation time: 71.00300001911819
83.76199996564537 - RAF callback, animation time: 72.1929999999702
84.95299995411187 - RAF callback, animation time: 73.38499999605119
86.13599999807775 - RAF callback, animation time: 74.55999997910112
87.29499997571111 - RAF callback, animation time: 75.72600001003593
88.46499992068857 - RAF callback, animation time: 76.89699996262789
89.64199991896749 - RAF callback, animation time: 78.0739999609068
90.81299998797476 - RAF callback, animation time: 79.24500002991408
91.98199992533773 - RAF callback, animation time: 80.41399996727705
93.15299999434501 - RAF callback, animation time: 81.58500003628433
94.48299999348819 - RAF callback, animation time: 82.91500003542751
95.65499995369464 - RAF callback, animation time: 84.08699999563396
96.83099994435906 - RAF callback, animation time: 85.26199997868389
97.99099992960691 - RAF callback, animation time: 86.42199996393174
99.16300000622869 - RAF callback, animation time: 87.595000048168
100.33099993597716 - RAF callback, animation time: 88.76299997791648
101.52799997013062 - RAF callback, animation time: 89.95900000445545
102.69299999345094 - RAF callback, animation time: 91.12400002777576
103.89199992641807 - RAF callback, animation time: 92.32299996074289
105.06999993231148 - RAF callback, animation time: 93.5009999666363
106.33799992501736 - RAF callback, animation time: 94.76300003007054
107.66899993177503 - RAF callback, animation time: 96.09500004444271
108.8139999192208 - RAF callback, animation time: 97.24599996116012
110.00899993814528 - RAF callback, animation time: 98.4399999724701
111.17199994623661 - RAF callback, animation time: 99.60399998817593
112.353999982588 - RAF callback, animation time: 100.78600002452731
113.51799999829382 - RAF callback, animation time: 101.94399999454618
114.68599992804229 - RAF callback, animation time: 103.11799996998161
115.8649999415502 - RAF callback, animation time: 104.29599997587502
117.08799994084984 - RAF callback, animation time: 105.51899997517467
118.51099994964898 - RAF callback, animation time: 106.94099997635931
119.73299994133413 - RAF callback, animation time: 108.16399997565895
120.9409999428317 - RAF callback, animation time: 109.36800006311387
122.1069999737665 - RAF callback, animation time: 110.53800000809133
124.17399999685585 - RAF callback, animation time: 112.6030000159517
125.3339999821037 - RAF callback, animation time: 113.76500001642853
126.58399995416403 - RAF callback, animation time: 115.01599999610335
127.78699991758913 - RAF callback, animation time: 116.21800006832927
129.0079999016598 - RAF callback, animation time: 117.43700003717095
130.19599998369813 - RAF callback, animation time: 118.62700001802295
131.36100000701845 - RAF callback, animation time: 119.79200004134327
132.55899993237108 - RAF callback, animation time: 120.9909999743104
133.76799994148314 - RAF callback, animation time: 122.19899997580796
134.9269999191165 - RAF callback, animation time: 123.35899996105582
136.09099993482232 - RAF callback, animation time: 124.52299997676164
137.34299992211163 - RAF callback, animation time: 125.7700000423938
138.38699995540082 - RAF callback, animation time: 126.81899999734014
139.54599993303418 - RAF callback, animation time: 127.9779999749735
140.72699996177107 - RAF callback, animation time: 129.1579999960959
141.90399996005 - RAF callback, animation time: 130.3349999943748
143.15799996256828 - RAF callback, animation time: 131.58499996643513
144.30399995762855 - RAF callback, animation time: 132.73499999195337
145.48299997113645 - RAF callback, animation time: 133.91500001307577
146.6800000052899 - RAF callback, animation time: 135.11100003961474
147.86099991761148 - RAF callback, animation time: 136.29200006835163
149.04599997680634 - RAF callback, animation time: 137.47700001113117
150.22399998269975 - RAF callback, animation time: 138.65500001702458
151.43099997658283 - RAF callback, animation time: 139.86100000329316
152.5999999139458 - RAF callback, animation time: 141.03100006468594
153.78099994268268 - RAF callback, animation time: 142.2119999770075
154.96399998664856 - RAF callback, animation time: 143.39500002097338
156.1369999544695 - RAF callback, animation time: 144.56799998879433
157.31099992990494 - RAF callback, animation time: 145.74299997184426
158.48699992056936 - RAF callback, animation time: 146.9180000713095
159.66000000480562 - RAF callback, animation time: 148.09200004674494
160.8409999171272 - RAF callback, animation time: 149.27200006786734
162.17199992388487 - RAF callback, animation time: 150.4549999954179
163.25199999846518 - RAF callback, animation time: 151.61699999589473
164.35599990654737 - RAF callback, animation time: 152.78000000398606
165.51399999298155 - RAF callback, animation time: 153.94500002730638
166.58899991307408 - RAF callback, animation time: 155.02100007142872
167.75799996685237 - RAF callback, animation time: 156.19000000879169
168.96099993027747 - RAF callback, animation time: 157.39299997221678
170.14099995139986 - RAF callback, animation time: 158.57299999333918
171.252999920398 - RAF callback, animation time: 159.68499996233732
172.42600000463426 - RAF callback, animation time: 160.8570000389591
173.59499994199723 - RAF callback, animation time: 162.02699998393655
174.76799990981817 - RAF callback, animation time: 163.19900006055832
175.94200000166893 - RAF callback, animation time: 164.37300003599375
177.12499992921948 - RAF callback, animation time: 165.5569999711588
178.43400000128895 - RAF callback, animation time: 166.86500003561378
179.6039999462664 - RAF callback, animation time: 168.03599998820573
180.80599990207702 - RAF callback, animation time: 169.22899999190122
181.96899991016835 - RAF callback, animation time: 170.4000000609085
183.16099990624934 - RAF callback, animation time: 171.5920000569895
184.34999999590218 - RAF callback, animation time: 172.781000030227
185.55299995932728 - RAF callback, animation time: 173.9839999936521
186.83599994983524 - RAF callback, animation time: 175.26100005488843
187.99699994269758 - RAF callback, animation time: 176.4289999846369
189.18999994639307 - RAF callback, animation time: 177.6209999807179
190.37199998274446 - RAF callback, animation time: 178.80400002468377
191.53799989726394 - RAF callback, animation time: 179.9690000480041
192.7239999640733 - RAF callback, animation time: 181.15499999839813
193.84899991564453 - RAF callback, animation time: 182.2780000511557
194.97599999886006 - RAF callback, animation time: 183.38199995923787
196.40399992931634 - RAF callback, animation time: 184.83599997125566
197.57499999832362 - RAF callback, animation time: 186.00600003264844
198.76999990083277 - RAF callback, animation time: 187.20000004395843
199.95599996764213 - RAF callback, animation time: 188.38800000958145
201.1519999941811 - RAF callback, animation time: 189.58300002850592
202.33799994457513 - RAF callback, animation time: 190.76899997889996
203.47799989394844 - RAF callback, animation time: 191.90900004468858
204.6519999857992 - RAF callback, animation time: 193.0840000277385
205.87299996986985 - RAF callback, animation time: 194.30299999658018
207.06699998117983 - RAF callback, animation time: 195.49900002311915
208.2349999109283 - RAF callback, animation time: 196.66700006928295
209.43599997553974 - RAF callback, animation time: 197.86700000986457
210.6199999107048 - RAF callback, animation time: 199.05100006144494
211.78399992641062 - RAF callback, animation time: 200.21599996834993
212.87499996833503 - RAF callback, animation time: 201.30700001027435
214.070999994874 - RAF callback, animation time: 202.50300003681332
215.24199994746596 - RAF callback, animation time: 203.67299998179078
216.41899994574487 - RAF callback, animation time: 204.8509999876842
217.6059999037534 - RAF callback, animation time: 206.03800006210804
218.80899998359382 - RAF callback, animation time: 207.24000001791865
219.98399996664375 - RAF callback, animation time: 208.41600000858307
221.15999995730817 - RAF callback, animation time: 209.5919999992475
222.3349999403581 - RAF callback, animation time: 210.76699998229742
223.51899999193847 - RAF callback, animation time: 211.9500000262633
224.71099998801947 - RAF callback, animation time: 213.1420000223443
225.88199994061142 - RAF callback, animation time: 214.31399998255074
227.06199996173382 - RAF callback, animation time: 215.49400000367314
228.26999996323138 - RAF callback, animation time: 216.7020000051707
229.45199999958277 - RAF callback, animation time: 217.8830000339076
230.62199994456023 - RAF callback, animation time: 219.05399998649955
231.79599991999567 - RAF callback, animation time: 220.2270000707358
232.98299999441952 - RAF callback, animation time: 221.41400002874434
234.175999998115 - RAF callback, animation time: 222.60700003243983
235.32399989198893 - RAF callback, animation time: 223.75600005034357
236.4969999762252 - RAF callback, animation time: 224.92900001816452
237.64499998651445 - RAF callback, animation time: 226.07600002083927
238.91799990087748 - RAF callback, animation time: 227.34600002877414
240.07599998731166 - RAF callback, animation time: 228.5070000216365
241.2609999300912 - RAF callback, animation time: 229.69299997203052
242.4899999750778 - RAF callback, animation time: 230.9140000725165
243.64699993748218 - RAF callback, animation time: 232.0789999794215
244.87699999008328 - RAF callback, animation time: 233.30600000917912
246.0410000057891 - RAF callback, animation time: 234.47300004772842
247.27900000289083 - RAF callback, animation time: 235.70900002960116
248.44999995548278 - RAF callback, animation time: 236.8809999898076
249.65499993413687 - RAF callback, animation time: 238.0859999684617
250.82499999552965 - RAF callback, animation time: 239.25700003746897
252.02499993611127 - RAF callback, animation time: 240.4559999704361
253.24399990495294 - RAF callback, animation time: 241.6750000556931
254.4190000044182 - RAF callback, animation time: 242.85000003874302
255.60199993196875 - RAF callback, animation time: 244.03299996629357
256.7859999835491 - RAF callback, animation time: 245.21800002548844
