Warning this test is running in real-time and may be flaky.
FAIL - "left" property for "box" element at 0.25s expected: 200 but saw: 277.1789855957031

Log:
211.27000000001317 - runAnimationTest
212.8260000000637 - First webkitAnimationStart event fired
213.03599999998823 - Finished waiting for animations to start
213.17099999998845 - RAF callback, animation time: 0.10899999995217513
213.28200000004927 - RAF callback, animation time: 0.2319999999826905
213.80900000008296 - RAF callback, animation time: 0.7629999998925996
214.90300000004936 - RAF callback, animation time: 1.8549999999777356
215.97700000006625 - RAF callback, animation time: 2.930999999989581
217.13199999999233 - RAF callback, animation time: 4.085999999915657
218.20600000000923 - RAF callback, animation time: 5.159999999932552
219.28800000000592 - RAF callback, animation time: 6.241999999929249
220.37399999999252 - RAF callback, animation time: 7.327999999915846
221.45999999997912 - RAF callback, animation time: 8.413999999902444
222.53999999998086 - RAF callback, animation time: 9.492999999906715
223.6199999999826 - RAF callback, animation time: 10.573999999905936
224.71100000007027 - RAF callback, animation time: 11.664999999993597
225.79800000005434 - RAF callback, animation time: 12.75199999997767
226.8780000000561 - RAF callback, animation time: 13.831999999979416
227.9590000000553 - RAF callback, animation time: 14.912999999978638
229.041000000052 - RAF callback, animation time: 15.994999999975335
230.12800000003608 - RAF callback, animation time: 17.081999999959407
231.2090000000353 - RAF callback, animation time: 18.16299999995863
232.29000000003452 - RAF callback, animation time: 19.242999999960375
233.45200000005661 - RAF callback, animation time: 20.40599999997994
234.53100000006089 - RAF callback, animation time: 21.48499999998421
235.6879999999819 - RAF callback, animation time: 22.640999999907763
236.78500000005442 - RAF callback, animation time: 23.7369999999828
237.90700000006382 - RAF callback, animation time: 24.858999999992193
238.99600000004284 - RAF callback, animation time: 25.947999999971216
240.17400000002453 - RAF callback, animation time: 27.12399999995796
241.245000000049 - RAF callback, animation time: 28.197999999974854
242.32100000006085 - RAF callback, animation time: 29.2739999999867
243.4930000000577 - RAF callback, animation time: 30.44399999998859
244.5740000000569 - RAF callback, animation time: 31.525999999985288
245.6849999999804 - RAF callback, animation time: 32.63699999990877
246.77300000007563 - RAF callback, animation time: 33.72600000000148
247.8640000000496 - RAF callback, animation time: 34.81699999997545
248.93900000006397 - RAF callback, animation time: 35.89199999998982
250.03700000002027 - RAF callback, animation time: 36.988999999948646
251.13599999997405 - RAF callback, animation time: 38.0889999998999
252.21099999998842 - RAF callback, animation time: 39.16499999991174
253.32000000003063 - RAF callback, animation time: 40.27299999995648
254.45400000000973 - RAF callback, animation time: 41.4059999999381
255.54799999997613 - RAF callback, animation time: 42.4999999999045
256.6199999999981 - RAF callback, animation time: 43.5739999999214
257.69900000000234 - RAF callback, animation time: 44.65299999992567
258.7790000000041 - RAF callback, animation time: 45.732999999927415
259.8600000000033 - RAF callback, animation time: 46.81399999992664
260.94399999999496 - RAF callback, animation time: 47.89699999992081
262.0150000000194 - RAF callback, animation time: 48.96899999994275
263.09600000001865 - RAF callback, animation time: 50.049999999941974
264.1889999999876 - RAF callback, animation time: 51.14199999991342
265.28700000005756 - RAF callback, animation time: 52.23999999998341
266.3640000000669 - RAF callback, animation time: 53.31799999999021
267.4460000000636 - RAF callback, animation time: 54.3999999999869
268.52900000005775 - RAF callback, animation time: 55.482999999981075
269.6090000000595 - RAF callback, animation time: 56.56299999998282
270.7060000000183 - RAF callback, animation time: 57.65699999994922
271.79100000000744 - RAF callback, animation time: 58.74499999993077
272.88099999998394 - RAF callback, animation time: 59.83499999990727
273.95400000000336 - RAF callback, animation time: 60.90799999992669
275.037999999995 - RAF callback, animation time: 61.991999999918335
276.11799999999675 - RAF callback, animation time: 63.07199999992008
277.197000000001 - RAF callback, animation time: 64.15099999992435
278.2789999999977 - RAF callback, animation time: 65.23199999992357
279.3810000000576 - RAF callback, animation time: 66.33299999998599
280.4670000000442 - RAF callback, animation time: 67.42099999996753
281.5880000000561 - RAF callback, animation time: 68.5399999999845
282.67700000003515 - RAF callback, animation time: 69.629999999961
283.7840000000824 - RAF callback, animation time: 70.7359999998971
285.88200000001507 - RAF callback, animation time: 72.80599999990045
286.9269999999915 - RAF callback, animation time: 73.87999999991735
288.0400000000236 - RAF callback, animation time: 74.99099999995451
289.1550000000507 - RAF callback, animation time: 76.10799999997653
290.2430000000322 - RAF callback, animation time: 77.19599999995808
291.31900000004407 - RAF callback, animation time: 78.27199999996992
292.46200000000044 - RAF callback, animation time: 79.41399999992882
293.62300000002506 - RAF callback, animation time: 80.57599999995091
294.7030000000268 - RAF callback, animation time: 81.65699999995013
295.89900000007674 - RAF callback, animation time: 82.85300000000007
296.97700000008354 - RAF callback, animation time: 83.93099999989317
298.0559999999741 - RAF callback, animation time: 85.00999999989745
299.1890000000694 - RAF callback, animation time: 86.14299999999275
300.2830000000358 - RAF callback, animation time: 87.23699999995915
301.3670000000275 - RAF callback, animation time: 88.3209999999508
302.5350000000344 - RAF callback, animation time: 89.48899999995774
303.6690000000135 - RAF callback, animation time: 90.62299999993684
304.7920000000204 - RAF callback, animation time: 91.74499999994623
305.90200000006007 - RAF callback, animation time: 92.85399999998845
306.9910000000391 - RAF callback, animation time: 93.94499999996242
308.0730000000358 - RAF callback, animation time: 95.02599999996164
309.18000000008306 - RAF callback, animation time: 96.1339999998927
310.3330000000142 - RAF callback, animation time: 97.28599999994003
311.60399999998845 - RAF callback, animation time: 98.5569999999143
312.7440000000661 - RAF callback, animation time: 99.69699999999193
313.75100000002476 - RAF callback, animation time: 100.70399999995061
314.8350000000164 - RAF callback, animation time: 101.78799999994226
315.91500000001815 - RAF callback, animation time: 102.867999999944
317.1070000000782 - RAF callback, animation time: 104.06100000000151
318.18600000008246 - RAF callback, animation time: 105.1399999998921
319.2660000000842 - RAF callback, animation time: 106.21899999989637
320.3480000000809 - RAF callback, animation time: 107.30199999989054
321.42800000008265 - RAF callback, animation time: 108.38199999989229
322.858999999994 - RAF callback, animation time: 109.79499999996278
323.9610000000539 - RAF callback, animation time: 110.91399999997975
325.1989999999978 - RAF callback, animation time: 112.15199999992365
326.94500000002336 - RAF callback, animation time: 113.8979999999492
328.0889999999772 - RAF callback, animation time: 115.04299999990053
329.32800000003226 - RAF callback, animation time: 116.28199999995559
330.41000000002896 - RAF callback, animation time: 117.36399999995228
331.4870000000383 - RAF callback, animation time: 118.4409999999616
332.6210000000174 - RAF callback, animation time: 119.5749999999407
333.73600000004444 - RAF callback, animation time: 120.68799999997282
334.94900000005146 - RAF callback, animation time: 121.90099999997983
338.6010000000397 - RAF callback, animation time: 125.55399999996553
339.6770000000515 - RAF callback, animation time: 126.63099999997485
340.767000000028 - RAF callback, animation time: 127.71999999995387
341.8500000000222 - RAF callback, animation time: 128.80299999994804
342.93300000001636 - RAF callback, animation time: 129.88599999994221
344.0209999999979 - RAF callback, animation time: 130.97399999992376
345.09800000000723 - RAF callback, animation time: 132.05199999993056
346.30300000003444 - RAF callback, animation time: 133.15099999999802
347.3539999999957 - RAF callback, animation time: 134.23999999997704
348.4290000000101 - RAF callback, animation time: 135.37099999996371
349.4940000000497 - RAF callback, animation time: 136.44799999997304
350.63800000000356 - RAF callback, animation time: 137.59199999992688
351.6740000000027 - RAF callback, animation time: 138.62699999992856
352.78600000003735 - RAF callback, animation time: 139.73999999996067
353.88799999998355 - RAF callback, animation time: 140.83999999991192
354.95300000002317 - RAF callback, animation time: 141.90599999994902
356.029000000035 - RAF callback, animation time: 142.98299999995834
357.1080000000393 - RAF callback, animation time: 144.06099999996513
358.1820000000562 - RAF callback, animation time: 145.1359999999795
359.2720000000327 - RAF callback, animation time: 146.225999999956
360.43000000006487 - RAF callback, animation time: 147.38199999999324
361.50900000006914 - RAF callback, animation time: 148.46299999999246
362.58600000007846 - RAF callback, animation time: 149.54000000000178
363.6670000000777 - RAF callback, animation time: 150.61999999988984
364.74199999997836 - RAF callback, animation time: 151.6959999999017
365.81999999998516 - RAF callback, animation time: 152.77399999990848
366.8999999999869 - RAF callback, animation time: 153.85399999991023
367.9779999999937 - RAF callback, animation time: 154.9329999999145
369.0589999999929 - RAF callback, animation time: 156.01299999991625
370.13200000001234 - RAF callback, animation time: 157.08699999993314
371.2070000000267 - RAF callback, animation time: 158.1619999999475
372.3130000000765 - RAF callback, animation time: 159.26600000000235
373.3910000000833 - RAF callback, animation time: 160.3459999998904
374.465999999984 - RAF callback, animation time: 161.4199999999073
375.5660000000489 - RAF callback, animation time: 162.5179999999773
376.63800000007086 - RAF callback, animation time: 163.58999999999924
377.71300000008523 - RAF callback, animation time: 164.66699999989487
