# Fields automatically updated by update_remote_extensions.py.
# Do not manually alter individual fields.
# To manually add extension, append line:
#     <extension_name>,<extension_id>,,
# and run update_remote_extensions.py to update hash and version columns.
# To manually remove extension, remove the entire line.
extension_name,id,hash,version
Skype Click to Call,lifbcibllhkdhoafpjfnlhfpfgnpldfl,NThiY2I3NDg1ZDg2MDcyNWVlM2MzZTQ2MGFhY2E4OGVlNjgyYmViMw==,8.3.0.9150
AdBlock,gighmmpiobklfepjocnamgkkbiglidom,MzY5YjAxNTliN2ViYmViOWNlM2I3YWI5Mjk1NGI0YjNlMGNiNjNmMg==,3.1
Bookmark Manager,gmlllbghnfkpflemihljekbapjopfjik,ODFlMzE1NDMxOWY3MGNjZWNmYzAwZmE3YzYxMzZjYzg2ODU2YTY3NQ==,2.2016.128.11729
Adblock Plus,cfhdojbkjhnklbpkdaibdccddilifddb,NTZlMjMwMGZhNDhiYTVjMzliZjBhNGZmODhlZDk2NjhiM2I3MjY5ZQ==,1.12.1
SiteAdvisor,fheoggkfdfchfphceeifdbepaooicaho,MzE1YjNhYjg2Mjk0NTYwYTllZGJlYTk5MjMyZjYwZGNmOGNlMGQ2Mw==,4.0.0.0
Avast SafePrice,eofcbnmajmjmplflapaojjnihcjkigck,OWZkZWE4M2ZhMGFkOTRiNDYwODU1OGY1M2M4MzJlYzQwODAzZTQwNA==,12.0.81
Norton Identity Safe,iikflkcanblccfahdhdonehdalibjnif,OTA1NGI5MThiZGFkOWRkNjAzNGQ2N2EzODdhNzUwNTNkZTIyMjAyZA==,1.0.5
Application Launcher for Drive (by Google),lmjegmlicamnimmfhcmpkclmigmmcbeh,NWY0NjY2ZDNhNGNlOWU3MTY4MjlhMTE5MWFhZTk4Y2FlZTI5NmUwMQ==,3.2
Norton Security Toolbar,mkfokfffehpeedafpekjeddnmnjhmcmk,NjljYzQ0YzZhNjVmMDY5NjZkZWU3NzA2NWQ0ZWY3MjZmZDgxNGNjYQ==,2014.7.12.30
Avira Browser Safety,flliilndjeohchalpbbcdekjklbdgfkk,NmVmMDJhZWNiNDIzODg4NTZmZWJmZWIzYTk3YzU5NTFmNGZiOTlhMg==,1.11.0
MSN Homepage & Bing Search Engine,fcfenmboojpjinhpgggodefccipikbpd,NjNkNGVkZDFlNTYzNTBkOGY1ZDFiOWZmZGQyOWIxZDkzOWMwODM0Yg==,0.0.0.8
Adobe Acrobat - Create PDF,efaidnbmnnnibpcajpcglclefindmkaj,NjE3MDVmMjQ3NmNiMDBkMjY4M2ZmNWM4ZGJhNmJjNTMzYWNmNDZlZg==,15.1.0.1
Cisco WebEx Extension,jlhmfgmfgeifomenelglieieghnjghma,NmQ0Y2VhMDI0OGU5YzcxNDAxZjdmYWZmYzBjNGUwZjgzYjI0YWZmYg==,1.0.1
IDM Helper Module,ngpampappnmepgilojfohadhhmbhlaek,ZjFmNjFlNmU1M2I4NWYzODIzYjEwY2JkM2EwMGM0ZmY0YWE5NGRhYg==,6.25.21.2
Pin It Button,gpdjojdkbbmdfjfahjcgigfpmkopogic,NWRjZTVlMmNkNmRjZWI1MzRkZmU4NGRkYTY2MDFjNjRhZDMwOWJiZQ==,1.39.2
