Warning this test is running in real-time and may be flaky.
FAIL - "left" property for "box" element at 0.25s expected: 200 but saw: 277.93951416015625

Log:
212.70700000002307 - runAnimationTest
214.60700000000088 - First webkitAnimationStart event fired
214.79099999999107 - Finished waiting for animations to start
214.9339999999711 - RAF callback, animation time: 0.11099999994712562
215.08799999992334 - RAF callback, animation time: 0.28399999996508996
215.6079999999747 - RAF callback, animation time: 0.8090000000038344
216.70299999993858 - RAF callback, animation time: 1.9039999999677093
217.8400000000238 - RAF callback, animation time: 3.041000000052918
218.94299999996747 - RAF callback, animation time: 4.14299999999912
220.04500000002736 - RAF callback, animation time: 5.245999999942796
221.21099999992566 - RAF callback, animation time: 6.406999999967411
222.30500000000575 - RAF callback, animation time: 7.504000000039923
223.36999999993168 - RAF callback, animation time: 8.570999999960804
224.60000000000946 - RAF callback, animation time: 9.801000000038584
225.68499999999858 - RAF callback, animation time: 10.886000000027707
226.81499999998778 - RAF callback, animation time: 12.015000000019427
227.89099999999962 - RAF callback, animation time: 13.092000000028747
229.01600000000144 - RAF callback, animation time: 14.216000000033091
230.05699999998797 - RAF callback, animation time: 15.257000000019616
231.13899999998466 - RAF callback, animation time: 16.339000000016313
232.2309999999561 - RAF callback, animation time: 17.430999999987762
233.31899999993766 - RAF callback, animation time: 18.519999999966785
234.44899999992685 - RAF callback, animation time: 19.64999999995598
235.52399999994122 - RAF callback, animation time: 20.72499999997035
236.6180000000213 - RAF callback, animation time: 21.81800000005296
237.69800000002306 - RAF callback, animation time: 22.899000000052183
238.77900000002228 - RAF callback, animation time: 23.978999999940243
239.85800000002655 - RAF callback, animation time: 25.05899999994199
241.31499999998596 - RAF callback, animation time: 26.516000000015083
242.09399999995185 - RAF callback, animation time: 27.294999999980973
243.1980000000067 - RAF callback, animation time: 28.398000000038337
244.3230000000085 - RAF callback, animation time: 29.52400000003763
245.4169999999749 - RAF callback, animation time: 30.61800000000403
246.50199999996403 - RAF callback, animation time: 31.702999999993153
247.58199999996577 - RAF callback, animation time: 32.7829999999949
248.67199999994227 - RAF callback, animation time: 33.8729999999714
249.76500000002488 - RAF callback, animation time: 34.96599999994032
252.71199999997407 - RAF callback, animation time: 37.91200000000572
269.94600000000446 - RAF callback, animation time: 55.14200000004621
271.02899999999863 - RAF callback, animation time: 56.22900000003028
272.15799999999035 - RAF callback, animation time: 57.35500000002958
273.22400000002744 - RAF callback, animation time: 58.424999999942884
274.29799999993065 - RAF callback, animation time: 59.49899999995978
